id,common_name,vietnamese_name,scientific_name,bird_order,family,description,distribution,diet,conservation_status
1,Abbott's Babbler,Chim Tòng quạ,Malacocincla abbotti,Passeriformes - Bộ Sẻ,"Pellorneidae - Họ Chuối tiêu
","Abbott's Babbler là một loài chim nhỏ thuộc họ Pellorneidae. Chim có kích thước trung bình từ 16 đến 18 cm. Chim trưởng thành có lưng và đầu màu nâu xám, bụng và ngực màu trắng với vạch nâu sẫm. Chim non có màu sắc tương tự nhưng màu sắc của chúng mờ hơn. Loài này có tiếng kêu đặc trưng là tiếng kêu kết hợp giữa tiếng hót và tiếng tru trầm.",Abbott's Babbler sinh sống trong rừng nhiệt đới và rừng thưa ở miền nam Lào và miền bắc Thái Lan. Chúng sống ẩn náu trong bụi cây và thường đi cặp hoặc nhóm nhỏ. ,Abbott's Babbler thức ăn chủ yếu là côn trùng và sâu bọ.,Near Threatened - Gần bị đe doạ
2,Abbott's Booby,Cò biển Abbott,Sula abbotti,Suliformes - Bộ Chim điên,Sulidae - Họ Cò biển,"Abbott's Booby là một loài chim biển lớn thuộc họ Sulidae. Chim có kích thước trung bình từ 71 đến 76 cm, với sải cánh khoảng 140 cm. Chim trưởng thành có lông màu trắng và đầu màu xám. Chim cái thường có lông vàng hoặc nâu nhạt trên đầu. Chúng có mỏ dài và chóp mỏ xanh. ","Loài này sống chủ yếu trên các đảo và hòn đá xa bờ biển, xây tổ trên các cành cây hoặc trên mặt đất. ",Abbott's Booby chủ yếu ăn cá và mực.,Near Threatened - Gần bị đe doạ
3,Abyssinian Ground Hornbill,Chim đầu bò Abyssinian,Bucorvus abyssinicus,Bucerotiformes - Bộ Mỏ Sừng,Bucerotidae - Họ Mỏ Sừng,"Abyssinian Ground Hornbill là một loài chim lớn thuộc họ Bucerotidae. Chim đực có kích thước lớn hơn chim cái, đạt chiều dài từ 90 đến 100 cm và cân nặng khoảng 2-4 kg. Lông của chúng có màu đen với các vạch trắng ở cánh và đuôi. Chim có mỏ lớn và mạnh, với một góc cong xuống. Mỏ chim đực có màu đỏ, trong khi mỏ chim cái có màu xanh.","
Abyssinian Ground Hornbill sinh sống chủ yếu trong các khu rừng, đồng cỏ và vùng đồng cỏ cây bụi ở Đông Phi, bao gồm các quốc gia như Ethiopia, Kenya, Somalia và Sudan. Chúng thường di chuyển theo nhóm.","Abyssinian Ground Hornbill ăn đa dạng thức ăn bao gồm côn trùng, động vật nhỏ, thực vật và trái cây.",Vulnerable - Bị đe dọa
4,African Crowned Crane,Sếu đầu hoàng,Balearica pavonina,Gruiformes - Bộ Sếu,Gruidae - Họ Sếu,"African Crowned Crane là một loài chim lớn thuộc họ Gruidae. Chim có kích thước trung bình từ 100 đến 120 cm và cân nặng khoảng 3-6 kg. Chim đực và chim cái có ngoại hình tương đối giống nhau. Đặc điểm nổi bật của chim là một mũi lông đầy màu sắc ở đỉnh đầu, tạo thành vương miện (crown) đặc trưng, với màu vàng, đỏ và trắng. Lông cánh của chúng có màu đen và trắng, tạo thành một họa tiết thú vị khi bay. Chim có mỏ dài và mảng da trước mắt màu đỏ.","African Crowned Crane sinh sống chủ yếu trong các vùng cỏ ngập nước, đầm lầy và cánh đồng ở châu Phi. ","Chúng ăn đa dạng thức ăn, bao gồm cỏ, hạt, côn trùng, động vật nhỏ và động vật thủy sinh.",Vulnerable - Bị đe dọa
5,African Emerald Cuckoo,Chim Cu cu xanh châu Phi,Chrysococcyx cupreus,Cuculiformes - Bộ Cu Cu,Cuculidae - Họ Cu Cu,"African Emerald Cuckoo là một loài chim nhỏ thuộc họ Cuculidae. Chim có kích thước trung bình từ 17 đến 20 cm. Chim đực và chim cái có ngoại hình khác nhau. Chim đực có lông màu xanh lá cây chói lọi trên lưng, cổ và ngực, trong khi chim cái có lông màu nâu nhạt và sọc trắng trên cánh. Cả hai giới đều có mỏ nhọn và màu đen.","African Emerald Cuckoo sinh sống trong các khu rừng, cánh đồng và khu vực cây bụi ở châu Phi. ","Chúng ăn chủ yếu các loại côn trùng, bao gồm bướm, con nhộng và kiến.",
6,African Firefinch,Chim chích lửa châu Phi,Lagonosticta rubricata,Passeriformes - Bộ Sẻ,Estrildidae - Họ Chim di,"African Firefinch là một loài chim nhỏ thuộc họ Estrildidae. Chim đực và chim cái có ngoại hình khác nhau. Chim đực có lưng màu xám xanh đậm hoặc nâu, đầu và ngực màu đỏ sáng, cánh và đuôi đen. Chim cái có màu nâu nhạt trên lưng và màu đỏ nhạt trên đầu và ngực. Cả hai giới đều có mỏ nhọn và màu đen.","African Firefinch phân bố rộng khắp châu Phi, từ khu vực Sahara đến Nam Phi. Chúng thích nghi với các môi trường sống khác nhau như cánh đồng, vùng bãi cỏ, cánh đồng lúa mì và khu vực cây bụi.",Chim ăn chủ yếu hạt và côn trùng nhỏ.,
7,African Oystercatcher,Sếu cắt hàu châu Phi,Haematopus moquini,Charadriiformes - Bộ Cun cút,Haematopodidae,"African Oystercatcher là một loài chim lớn thuộc họ Haematopodidae. Chim có kích thước trung bình từ 42 đến 48 cm và cân nặng khoảng 500-700 gram. Chim có lông màu đen sậm, mỏ dài, đen và chân màu hồng. Chim đực và chim cái có ngoại hình tương đối giống nhau.","African Oystercatcher sinh sống chủ yếu ở khu vực bờ biển của Nam Phi, từ Namibia đến Nam Phi. Chúng thường tìm thức ăn trên bãi cát, đá biển và khu vực ven biển. ","Chim ăn chủ yếu các loài hàu, sò và các loài động vật thủy sinh nhỏ khác.",Near Threatened - Gần bị đe doạ
8,African Pied Hornbill,Chim nòng cổ châu Phi,Tockus fasciatus,Bucerotiformes - Bộ Mỏ Sừng,Bucerotidae - Họ Mỏ Sừng,"African Pied Hornbill là một loài chim vừa, có kích thước trung bình từ 40 đến 55 cm. Chim có lông màu đen và trắng, với lưng và cánh màu đen và bụng màu trắng. Chim đực và chim cái có ngoại hình tương đối giống nhau, nhưng chim đực có mỏ dài hơn và màu sáng hơn chim cái.","African Pied Hornbill sinh sống chủ yếu trong khu rừng, cánh đồng và vùng cây bụi ở châu Phi.","Chúng ăn chủ yếu các loại quả, hạt, côn trùng và động vật nhỏ.",
9,African Pygmy Goose,Vịt nhỏ châu Phi,Nettapus auritus,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"African Pygmy Goose là một loài chim vịt nhỏ, có kích thước trung bình khoảng 30 cm. Chim đực và chim cái có ngoại hình tương đối giống nhau. Lông của chúng có màu xám xanh nhạt trên lưng và màu trắng trên bụng. Mỏ và chân của chim có màu đỏ.","African Pygmy Goose phân bố rộng khắp ở châu Phi, từ vùng Sahara đến miền nam châu Phi. Chúng thích nghi với các môi trường sống như đầm lầy, ao rừng và khu vực có nước ngọt. ","Chim ăn chủ yếu các loại thực vật thủy sinh như lá non, hạt và côn trùng nước.",
10,Albatross,Chim hải âu,Albatross,Procellariiformes - Bộ Hải Âu,Diomedeidae - Họ Hải âu mày đen,"Albatross là một nhóm chim biển lớn thuộc họ Diomedeidae. Chúng có kích thước lớn, với sải cánh có thể lên đến 3,7 mét, là sải cánh lớn nhất trong tất cả các loài chim. Albatross có lông màu trắng hoặc xám với đặc điểm là cánh dài và sắc nhọn, đuôi hình chữ V. Mỏ của chúng dài và hình nón, thích hợp để họ tiếp xúc với nước.",Albatross sống chủ yếu trên biển và có khả năng bay xa và kéo dài trong thời gian dài mà không cần nghỉ. ,"Chúng thức ăn chủ yếu là cá, mực, và các sinh vật biển nhỏ.",
